,completeness,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g
745,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,0.375,184.75143,773.0,0.64,0.12,43.43,20.57,0.83,0.0,0.0
747,0.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,0.275,0.0,0.0,0.1,0.1,97.0,0.0,0.1,0.0,0.0
749,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
751,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
752,0.275,586.0,2452.0,42.5,32.7,37.8,32.7,9.3,0.02,0.008
753,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,0.275,344.0,1439.0,0.8,0.1,74.7,1.1,8.6,0.0,0.0
756,0.275,349.0,1460.0,2.6,0.2,64.0,1.0,13.3,0.03,0.012
757,0.6875,358.0,1498.0,3.5,0.6,72.2,0.9,13.0,0.01,0.004
758,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,0.275,419.0,1753.0,15.4,2.7,56.3,10.1,11.9,0.0,0.0
760,0.3,268.0,1121.0,17.0,7.0,1.3,1.0,28.0,0.0,0.0
761,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
762,0.275,367.0,1536.0,20.0,14.0,40.0,35.0,5.6,0.1,0.04
763,0.375,420.0,1757.0,18.0,8.0,60.0,28.0,6.0,0.625,0.25
764,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,0.475,108.0,452.0,6.5,2.9,6.2,3.6,5.5,0.9,0.36
767,0.6875,81.0,339.0,0.9,0.1,0.1,0.1,18.3,0.3,0.12
768,0.5875,168.0,703.0,10.3,1.4,0.0,0.0,18.9,0.1,0.04
769,0.5875,137.0,573.0,3.1,1.6,24.0,0.8,2.2,1.0,0.4
770,0.475,201.0,841.0,10.0,0.8,24.0,1.0,2.5,1.3,0.52
771,0.375,49.0,205.0,0.4,0.1,9.2,8.4,1.0,0.2,0.08
772,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
773,0.275,112.0,469.0,4.9,2.2,11.4,1.6,5.0,0.8,0.32
774,0.875,198.0,828.0,7.2,1.0,17.6,0.5,15.3,1.8,0.72
775,0.275,230.0,962.0,9.9,3.3,25.5,2.8,8.5,1.2,0.48
776,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,0.4875,108.0,452.0,2.5,0.4,9.3,1.5,11.8,1.0,0.4
779,0.275,190.0,795.0,9.6,8.2,19.0,12.8,5.2,0.25,0.1
780,0.275,149.0,623.0,5.6,2.7,16.1,2.8,7.8,1.3,0.52
781,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782,0.275,77.0,322.0,1.2,0.5,9.7,2.5,6.1,0.82,0.328
783,0.775,126.0,527.0,6.3,2.3,10.5,1.5,6.5,0.79,0.316
784,0.375,305.0,1276.0,16.3,1.6,32.5,0.6,6.5,0.53,0.212
785,0.375,382.0,1598.0,24.1,11.2,33.0,3.5,7.2,1.0,0.4
786,0.275,72.0,301.0,0.8,0.2,4.8,4.2,11.0,1.0,0.4
787,0.275,188.0,787.0,9.0,0.8,23.0,1.0,2.5,1.2,0.48
788,0.275,203.0,849.0,5.9,3.5,26.9,2.6,8.4,1.0,0.4
789,0.5875,162.0,678.0,6.6,1.7,17.0,3.7,8.2,0.73,0.292
790,0.375,194.0,812.0,8.1,1.6,21.2,1.6,8.3,1.2,0.48
791,0.2625,211.0,883.0,15.0,7.2,3.2,0.5,15.0,0.5,0.2
792,0.375,109.0,456.0,3.3,1.2,2.0,0.01,17.7,0.1,0.04
793,0.275,200.0,837.0,11.9,4.2,1.9,0.1,21.3,1.1,0.44
794,0.375,103.0,431.0,4.0,0.5,0.3,0.3,20.0,1.4,0.56
795,0.5875,278.0,1163.0,17.0,7.0,24.0,1.6,5.9,1.5,0.6
796,0.375,591.0,2473.0,8.9,6.1,12.0,3.0,2.8,0.8,0.32
797,0.275,64.0,268.0,2.1,0.9,8.6,3.6,1.5,0.7,0.28
798,0.4875,51.0,213.0,2.5,1.2,4.1,2.4,1.6,0.5,0.2
799,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.275,138.0,577.0,11.0,6.3,6.0,2.0,3.4,0.77,0.308
801,0.275,176.0,736.0,14.9,8.1,4.4,1.4,4.8,0.76,0.304
802,0.275,111.0,464.0,7.6,1.1,4.3,2.0,4.7,0.32,0.128
803,0.375,270.0,1130.0,10.5,7.4,35.1,16.5,2.1,0.1,0.04
804,0.375,403.0,1686.0,28.2,18.46,29.4,24.3,6.1,0.36,0.144
805,0.375,243.0,1017.0,18.0,1.9,16.0,2.9,2.9,0.75,0.3
806,0.275,190.0,795.0,10.3,2.3,8.8,0.5,14.8,1.3,0.52
807,0.275,188.0,787.0,6.0,2.5,24.0,0.6,9.0,1.1,0.44
808,0.275,245.0,1025.0,7.4,0.6,37.6,1.1,5.6,1.0,0.4
809,0.275,266.0,1113.0,7.9,0.7,49.9,2.2,6.2,1.3,0.52
810,0.3875,173.0,724.0,0.4,0.1,3.3,1.0,4.1,0.1,0.04
811,0.275,58.0,243.0,0.6,0.2,6.0,0.6,3.8,0.1,0.04
812,0.3875,375.0,1569.0,22.6,11.3,37.2,28.2,4.6,0.1,0.04
813,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
815,0.275,121.0,506.0,2.0,0.4,12.0,1.2,13.0,1.2,0.48
816,0.275,244.0,1021.0,14.6,9.8,20.3,2.8,6.9,1.1,0.44
817,0.475,273.0,1142.0,9.5,1.1,32.3,1.7,10.5,1.3,0.52
818,0.775,326.0,1364.0,20.3,13.0,31.0,30.2,3.5,0.2,0.08
819,0.475,237.0,992.0,14.0,9.4,20.0,1.0,7.3,1.0,0.4
820,0.375,258.0,1079.0,17.0,11.0,18.0,1.0,7.5,0.83,0.332
821,0.275,211.0,883.0,12.0,7.3,20.0,2.0,5.2,1.1,0.44
822,0.275,385.0,1611.0,24.6,7.4,31.0,6.5,8.9,1.5,0.6
823,0.475,155.0,649.0,8.0,1.3,13.2,2.4,5.4,0.42,0.168
824,0.3875,255.0,1067.0,16.0,11.0,19.0,1.2,6.8,0.91,0.364
825,0.275,264.0,1105.0,18.0,12.0,18.0,0.9,6.7,1.0,0.4
826,0.275,243.0,1017.0,12.0,8.3,25.0,1.8,7.4,1.0,0.4
827,0.275,226.0,946.0,14.0,9.1,17.0,1.4,7.8,1.0,0.4
828,0.375,151.0,632.0,9.4,6.7,5.3,1.1,10.6,0.86,0.344
829,0.275,172.0,720.0,13.0,9.3,6.7,1.2,6.8,0.88,0.352
830,0.275,167.0,699.0,13.0,8.2,3.0,0.8,6.5,0.74,0.296
831,0.4875,300.0,1255.0,16.5,8.1,24.6,4.2,12.2,1.42,0.568
832,0.275,325.0,1360.0,20.4,11.0,22.09,4.1,11.8,1.69,0.676
833,0.2625,330.0,1381.0,18.6,7.7,27.6,1.7,11.7,1.8,0.72
834,0.4875,130.0,544.0,7.4,4.3,9.4,2.1,6.3,0.58,0.232
835,0.375,169.0,707.0,11.0,3.8,10.3,2.6,6.8,0.6,0.24
836,0.5875,140.0,586.0,11.0,5.5,5.1,0.6,4.6,4.9,1.96
837,0.275,159.0,665.0,2.5,1.5,29.0,1.3,3.7,1.1,0.44
838,0.275,162.0,678.0,8.0,2.7,1.7,0.1,20.8,0.32,0.128
839,0.375,206.0,862.0,15.0,4.2,1.7,1.7,16.0,1.1,0.44
840,0.275,198.0,828.0,4.2,3.0,36.0,15.8,3.5,0.29,0.116
